name,team,sim_pitcher_1,sim_score_1,sim_pitcher_2,sim_score_2,sim_pitcher_3,sim_score_3
Jace Fry,White Sox,Madison Bumgarner,898,Greg Holland,883,Tyler Zuber,882
Jordan Yamamoto,Marlins,Trevor Bauer,944,Eric Lauer,920,Joe Musgrove,903
Caleb Thielbar,Twins,Jesse Hahn,931,Brett Martin,906,Freddy Peralta,891
Brett Anderson,Brewers,Johnny Cueto,974,Brandon Bielak,936,Ryan Weber,935
John Schreiber,Tigers,Jarlin Garcia,949,Huascar Ynoa,914,Raisel Iglesias,913
Zack Godley,Red Sox,Josh Tomlin,861,Travis Lakins,848,Adam Wainwright,838
Lewis Thorpe,Twins,Trevor Williams,973,Caleb Smith,968,Rick Porcello,965
Hyun-Jin Ryu,Blue Jays,Chase Anderson,952,Martin Perez,950,Walker Lockett,925
Nick Ramirez,Tigers,Johnny Cueto,936,Brett Anderson,931,Sean Manaea,902
Anibal Sanchez,Nationals,Wade LeBlanc,888,Nick Ramirez,880,Kyle Hart,850
Mike Kickham,Red Sox,Jace Fry,856,Madison Bumgarner,838,Greg Holland,821
Robbie Erlin,- - -,Alex Wood,937,Aaron Nola,912,Jeff Hoffman,905
Nick Vincent,Marlins,Kolby Allard,934,Jon Lester,925,Corey Oswalt,910
Adam Wainwright,Cardinals,Dovydas Neverauskas,921,Cody Ponce,901,Dean Kremer,899
Adam Kolarek,Dodgers,Michael King,883,Rafael Montero,879,Trevor Rosenthal,878
Daniel Castano,Marlins,Trevor Richards,954,Justus Sheffield,948,Reynaldo Lopez,947
Jon Lester,Cubs,Kolby Allard,965,Marco Gonzales,958,Nick Vincent,925
Kyle Hart,Red Sox,Yusmeiro Petit,965,Zac Gallen,904,Chris Bassitt,901
Tyler Clippard,Twins,Nick Tropeano,751,Josh Lindblom,737,Jake Odorizzi,733
Julio Teheran,Angels,Dane Dunning,970,Chi Chi Gonzalez,962,Michael Fulmer,950
Richard Bleier,- - -,Erick Fedde,890,Shane Greene,865,Aaron Slegers,822
Noe Ramirez,Angels,Jacob Webb,886,A.J. Minter,881,Jeffrey Springs,877
Ryan Weber,Red Sox,Humberto Castellanos,970,Daniel Mengden,962,Luis Garcia,945
Zach Davies,Padres,Tyler Anderson,939,Hyun-Jin Ryu,899,Michael Wacha,899
T.J. McFarland,Athletics,Andrew Heaney,973,Mike Soroka,953,Tyler Webb,952
Ryne Harper,Nationals,Matt Barnes,716,James Karinchak,705,Grant Dayton,694
Madison Bumgarner,Diamondbacks,Greg Holland,903,Jace Fry,898,Clayton Kershaw,897
James Hoyt,Marlins,Anthony Bass,816,Ryne Stanek,759,Cam Bedrosian,755
Marco Gonzales,Mariners,Jon Lester,958,Merrill Kelly,945,Kolby Allard,944
Josh Tomlin,Braves,Travis Lakins,864,Zack Godley,861,Anthony Misiewicz,832
Yusmeiro Petit,Athletics,Kyle Hart,965,Zac Gallen,922,Adam Plutko,910
Mike Fiers,Athletics,Casey Mize,933,Nathan Eovaldi,793,Dylan Covey,772
Hoby Milner,Angels,Jakob Junis,959,Cody Stashak,958,Steve Cishek,955
Kyle Ryan,Cubs,Shawn Armstrong,916,Tommy Hunter,893,Josh Osich,893
Eric Yardley,Brewers,Ryan Thompson,961,Elieser Hernandez,947,Austin Brice,936
Rich Hill,Twins,Franklyn Kilome,762,Nathan Eovaldi,730,Drew Smyly,730
Devin Smeltzer,Twins,Tommy Milone,923,Matt Andriese,922,Trevor Cahill,913
Kyle Hendricks,Cubs,Kris Bubic,961,Buck Farmer,934,Alex Cobb,928
Ryan Yarbrough,Rays,Dallas Keuchel,934,Brad Brach,910,Wade LeBlanc,839
Dallas Keuchel,White Sox,Brad Brach,962,Ryan Yarbrough,934,Tyler Alexander,880
Zack Greinke,Astros,Brady Lail,947,Dylan Bundy,945,Tom Eshelman,931
Wade LeBlanc,Orioles,Anibal Sanchez,888,Nick Ramirez,878,Yusmeiro Petit,871
Tom Eshelman,Orioles,Brady Lail,940,Wes Benjamin,938,Derek Holland,933
Tommy Milone,- - -,Matt Andriese,928,Devin Smeltzer,923,Lucas Giolito,907
Darren O'Day,Braves,Adam Cimber,966,Tyler Rogers,945,John Curtiss,920
Alex Claudio,Brewers,Tony Watson,920,Trevor Richards,910,Pedro Baez,908
Adam Cimber,Indians,Darren O'Day,966,Nick Goody,925,Andrew Miller,918
Sergio Romo,Twins,Robert Stephenson,893,Sam Howard,885,Tyler Kinley,876
Brent Suter,Brewers,Archie Bradley,857,Ivan Nova,839,Kyle Hendricks,837
Cesar Valdez,Orioles,Tony Watson,751,Devin Williams,740,Phillips Valdez,735
Tyler Rogers,Giants,Darren O'Day,945,Adam Cimber,911,Joey Gerber,887
Will Harris,Nationals,Andre Scrubb,729,Josh Tomlin,22,Zack Godley,1
Andre Scrubb,Astros,Will Harris,729,Josh Tomlin,14,Zack Godley,0
