name,team,sim_pitcher_1,sim_score_1,sim_pitcher_2,sim_score_2,sim_pitcher_3,sim_score_3
Jonathan Brubaker,Pirates,Kyle Zimmer,993,Lucas Sims,987,Anthony DeSclafani,976
Pablo Lopez,Marlins,Chris Paddack,979,Luke Weaver,979,Rico Garcia,953
Robbie Ray,- - -,Jack Flaherty,980,Lucas Sims,974,Jonathan Brubaker,971
Giovanny Gallegos,Cardinals,Paul Fry,975,Jake Newberry,975,Geoff Hartlieb,972
Austin Brice,Red Sox,Victor Gonzalez,990,Brad Keller,984,Ryan Thompson,975
Anthony Kay,Blue Jays,Jordan Montgomery,884,James Paxton,876,Carson Fulmer,871
Shawn Armstrong,Orioles,Josh Osich,963,Kyle Ryan,916,Tommy Hunter,914
Casey Mize,Tigers,Mike Fiers,933,Nathan Eovaldi,805,Dylan Covey,762
Luis Cessa,Yankees,Adam Morgan,953,Jacob deGrom,884,Tejay Antone,872
Ian Kennedy,Royals,Ryan Helsley,939,Tyler Chatwood,807,Kolby Allard,803
Jacob Webb,Braves,Nick Wittgren,933,Noe Ramirez,886,Jeffrey Springs,884
Dellin Betances,Mets,Brett Martin,965,Garrett Richards,963,Will Smith,963
Geoff Hartlieb,Pirates,Paul Fry,996,Cody Stashak,974,Giovanny Gallegos,972
Michael Wacha,Mets,Tyler Anderson,939,Martin Perez,927,Corey Oswalt,914
Trevor Rogers,Marlins,Dillon Tate,975,Andrew Heaney,975,JoJo Romero,971
Jack Flaherty,Cardinals,Robbie Ray,980,Robert Dugger,978,Conner Menez,972
Carlos Carrasco,Indians,Johnny Cueto,934,Kyle Gibson,926,Brett Anderson,915
Robert Gsellman,Mets,Michael Fulmer,982,Spencer Turnbull,981,Bryse Wilson,974
Phil Maton,Indians,Cameron Hill,974,Scott Barlow,935,Ryan Pressly,933
Trevor Bauer,Reds,Jordan Yamamoto,944,Eric Lauer,940,Adam Plutko,919
Adam Ottavino,Yankees,Cody Reed,971,Ian Gibaut,890,Asher Wojciechowski,886
Lance Lynn,Rangers,Enoli Paredes,970,Robert Gsellman,963,Caleb Baragar,953
Jake Newberry,Royals,Giovanny Gallegos,975,Shaun Anderson,970,Jakob Junis,966
Erick Fedde,Nationals,Shane Greene,903,T.J. Zeuch,903,Richard Bleier,890
Dylan Floro,Dodgers,Ryan Borucki,894,Connor Brogdon,845,Michael Wacha,827
Adrian Houser,Brewers,Keegan Akin,968,Bryse Wilson,964,Tarik Skubal,962
Sean Newcomb,Braves,Jose Urquidy,979,John Gant,975,Blake Snell,971
Yonny Chirinos,Rays,Rafael Dolis,952,Frankie Montas,888,Hansel Robles,874
A.J. Cole,Blue Jays,Carlos Martinez,860,Jace Fry,815,Michael Lorenzen,815
Seth Lugo,Mets,Matt Strahm,998,Humberto Mejia,984,Triston McKenzie,980
Walker Lockett,- - -,Alex Young,972,Chase Anderson,959,Merrill Kelly,948
Riley Smith,Diamondbacks,Dakota Hudson,981,Mitch Keller,965,Jack Flaherty,956
Brady Singer,Royals,Brad Keller,992,Elieser Hernandez,981,Cody Stashak,978
Joey Gerber,Mariners,Josh Hader,982,Tanner Scott,964,Richard Rodriguez,959
Rony Garcia,Tigers,Michael Fulmer,980,Spencer Turnbull,974,Bryse Wilson,973
Travis Lakins,Orioles,Cody Ponce,894,Jon Lester,890,Tyler Chatwood,882
Seth Elledge,Cardinals,Nick Anderson,987,Josh Staumont,929,Craig Kimbrel,898
Cody Ponce,Pirates,Merrill Kelly,957,Dean Kremer,949,Colin Rea,944
Zac Gallen,Diamondbacks,Yusmeiro Petit,922,Brett Anderson,922,Brandon Bielak,919
Jeremy Jeffress,Cubs,Blake Parker,866,Junior Guerra,791,Nick Tropeano,780
